,title,subtitle,link
12,JU BEAUTY,Chelsea working on Bellingham transfer after being told two rivals leading race,https://www.thesun.co.uk/sport/19952016/chelsea-jude-bellingham-transfer-real-madrid-liverpool/
13,IT COULD HAAPEN,Ten records Man City ace Haaland could break this season… with Man Utd next,https://www.thesun.co.uk/sport/19955255/ten-records-man-city-erling-haaland/
14,SAINT SERGIO,Ramos ‘had to stop Neymar & Mbappe rowing’ as duo agree 'to keep feud private',https://www.thesun.co.uk/sport/19957432/ramos-neymar-mbappe-rowing-feuding-psg-private/
15,CHED'S BIG DAY,Ched Evans secretly marries girlfriend who stood by him during rape trial,https://www.thesun.co.uk/sport/19948741/ched-evans-secret-wedding-natasha-massey/
16,MARC-ED MAN,Bizarre moment ex-Wolves star Marcal gets banned for throwing ball at drone,https://www.thesun.co.uk/sport/19952996/bizarre-ex-wolves-marcal-booked-ball-drone/
17,MAD MOVE,Real Madrid set to raid Man City as they plot ambitious double transfer swoop,https://www.thesun.co.uk/sport/19954233/real-madrid-haaland-cancelo-transfer-man-city/
18,MARK MY WORDS,Man Utd were rejected by Arnautovic and had NOTHING to do with unhappy fans,https://www.thesun.co.uk/sport/19956597/marko-arnautovic-rejected-man-utd-transfer/
19,SCHOLE-DED,Paul Scholes slams Man Utd's transfer policy and questions three signings,https://www.thesun.co.uk/sport/19957847/scholes-sancho-varane-casemiro-transfer/
20,PEN PALS,Arsenal fans all say the same thing as Saka receives £800 'Ozil' gift from Jesus,https://www.thesun.co.uk/sport/19952717/arsenal-fans-saka-ozil-present-jesus/
21,UNRAVELLED,Macheda tells how 'crazy talented' Morrison was Man Utd's biggest young talent,https://www.thesun.co.uk/sport/19955807/macheda-crazy-talented-ravel-morrison-man-utd/
22,HULK RAGE,Hulk threatens to QUIT Atletico Mineiro over 'unacceptable' fan criticism,https://www.thesun.co.uk/sport/19957743/hulk-threatens-quit-fan-criticism-atletico-mineiro/
23,WELL I NEV-ER,Arsenal and Man Utd blow as Barca make Neves top target to replace Busquets,https://www.thesun.co.uk/sport/19956598/arsenal-man-utd-transfer-barcelona-neves/
24,ON THE BIG SCREEN,Jorginho and girlfriend meet Martinelli & Carlos at Brazil 2002 premiere,https://www.thesun.co.uk/sport/19956402/jorginho-girlfriend-gabriel-martinelli-roberto-carlos-arsenal-chelsea/
25,WRONG-ALDO,Watch fan end up in hospital after messing up Ronaldo celebration,https://www.thesun.co.uk/sport/19952289/watch-cristiano-ronaldo-fan-celebration-injured/
26,GAME OVER,Ex-Everton star called up by Putin to fight as Russian team staff flee war draft,https://www.thesun.co.uk/sport/19945339/everton-diniyar-bilyaletdinov-ukraine-army-russia-war/
27,'STAY HUMBLE',"My £60m price tag is CRAZY… nobody is worth that much, says Anthony Gordon",https://www.thesun.co.uk/sport/19949607/chelsea-transfer-gordon-everton/
28,DERBY DECIDER,Arsenal and Spurs combined XI ahead of derby with Saka and Kane but no Jesus,https://www.thesun.co.uk/sport/19948618/arsenal-tottenham-saka-kane-jesus/
29,NO WAY JOSE,Premier League medal Jose Mourinho threw into crowd was a Chelsea player's,https://www.thesun.co.uk/sport/19945790/chelsea-jose-mourinho-medal-robert-huth/
30,CRACKING THE COD,Man Utd set to return for Cody Gakpo despite star slamming their pursuit,https://www.thesun.co.uk/sport/19951757/man-utd-cody-gakpo-psv-transfer/
31,BOEHLY BLOW,Chelsea to delay hunt for new transfer guru after Freund move collapses,https://www.thesun.co.uk/sport/19949108/chelsea-will-not-have-new-transfer-guru-in-place-for-world-cup-as-boehly-forced-to-delay-hunt-after-freund-snub/
32,SWEDE JESUS,Spurs in major injury blow ahead of Arsenal clash with Dejan Kulusevski a doubt,https://www.thesun.co.uk/sport/19954228/tottenham-arsenal-dejan-kulusevski-injury/
